estados,processos,populacao,turistas,pib
SP,5573,45919049,2250994,2038005
RJ,2066,17264943,1293342,640186
MG,4705,21168791,81850,544634
RS,2083,11377239,1087191,408645
PR,1395,11433957,948388,401662
BA,3252,14873064,148637,258649
SC,1593,7164788,226362,256661
DF,307,3015268,75672,235497
GO,1919,7018354,2000,181692
PE,696,9557071,121169,167290
CE,2788,9132078,107420,138379
PA,1488,8602865,28720,138068
MT,1376,3484466,2000,123834
ES,1182,4018650,2000,109227
MS,624,2778986,91518,91866
AM,1926,4144597,36064,89017
MA,1762,7075181,2000,85286
RN,2608,3506853,28672,59661
PB,2110,4018127,2000,59089
AL,818,3337357,2000,49456
PI,3385,3273227,2000,41406
RO,458,1777225,2000,39451
SE,545,2298696,2000,38867
TO,709,1572866,2000,31576
AP,339,845731,33383,14339
AC,471,881935,31537,13751
RR,457,605761,13813,11011
